GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostValidateMove,14,0,0,0,6,0,2,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,GetGameRoute,4,103,0,4,2,23,0,5,0,3
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,GetHomeRoute,145,0,4,0,27,0,5,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,WebServer,85,0,0,0,18,0,3,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostSignInRoute,128,0,6,0,33,0,7,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostStartGameRoute,63,65,2,4,10,16,2,3,0,2
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,GetSignInRoute,36,0,0,0,9,0,3,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.model,BoardView.PieceEnum,0,24,0,0,0,3,0,1,0,1
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Game,34,29,5,1,8,9,9,2,6,2
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Piece,0,15,0,0,0,6,0,3,0,3
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Space,4,29,0,4,2,10,1,6,1,4
WebCheckers Model Tier Test Coverage,com.webcheckers.model,BoardView,30,28,2,2,7,6,3,3,2,2
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Piece.ColorEnum,0,24,0,0,0,3,0,1,0,1
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Message,0,15,0,0,0,6,0,3,0,3
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Message.MessageEnum,0,24,0,0,0,3,0,1,0,1
WebCheckers Model Tier Test Coverage,com.webcheckers.model,BoardView.ViewModeEnum,0,34,0,0,0,4,0,1,0,1
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Row,35,80,2,12,8,16,3,9,2,3
WebCheckers Model Tier Test Coverage,com.webcheckers,Application,77,0,0,0,23,0,4,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,PlayerLobby,1,102,1,9,1,23,1,14,0,10
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,Player,32,9,6,0,5,4,5,2,2,2
